country,continent,population,gdp
Fiji,Oceania,889953.0,5496.0
Tanzania,Africa,58005463.0,63177.0
W. Sahara,Africa,603253.0,907.0
Canada,North America,37589262.0,1736425.0
United States of America,North America,328239523.0,21433226.0
  Kazakhstan  ,Asia,"18,513,930",181665.0
Uzbekistan,Asia,33580650.0,57921.0
Papua New Guinea,Oceania,8776109.0,24829.0
Indonesia,Asia,270625568.0,1119190.0
Argentina,South America,"44,938,712",445445.0
CHILE,South America,18952038.0,282318.0
Dem. Rep. Congo,Africa,86790567.0,50400.0
Somalia,Africa,"10,192,317",4719.0
Kenya,Africa,52573973.0,95503.0
Sudan,Africa,"42,813,238",30513.0
Chad,Africa,15946876.0,11314.0
Haiti,North America,11263077.0,
Dominican Rep.,North America,10738958.0,88941.0
Russia,Europe,144373535.0,1699876.0
Bahamas,North America,,13578.0
Falkland Is.,South America,3398.0,282.0
Norway,Europe,5347896.0,403336.0
Greenland,North America,56225.0,3051.0
Fr. S. Antarctic Lands,Seven seas (open ocean),140.0,16.0
Timor-Leste,Asia,1293119.0,2017.0
South Africa,Africa,58558270.0,351431.0
Lesotho,Africa,"2,125,268",2376.0
Mexico,North America,127575529.0,1268870.0
Uruguay,South America,3461734.0,56045.0
Brazil,South America,"211,049,527",1839758.0
Bolivia,South America,,40895.0
Peru,South America,32510453.0,226848.0
Colombia,South America,50339443.0,323615.0
Panama,North America,4246439.0,66800.0
Costa Rica,North America,5047561.0,61801.0
Nicaragua,North America,6545502.0,12520.0
Honduras,North America,9746117.0,25095.0
El Salvador,North America,6453553.0,27022.0
Guatemala,North America,16604026.0,76710.0
Belize,North America,390353.0,1879.0
Venezuela,South America,28515829.0,482359.0
Guyana,South America,782766.0,5173.0
Suriname,South America,581363.0,3697.0
France,Europe,67059887.0,2715518.0
Ecuador,South America,17373662.0,107435.0
Puerto Rico,North America,,104988.0
Jamaica,North America,"2,948,279",16458.0
Cuba,North America,11333483.0,100023.0
Zimbabwe,Africa,14645468.0,21440.0
Botswana,Africa,2303697.0,18340.0
Namibia,Africa,2494530.0,12366.0
Senegal,Africa,16296364.0,23578.0
Mali,Africa,19658031.0,17279.0
Mauritania,Africa,4525696.0,7600.0
Benin,Africa,11801151.0,14390.0
Niger,Africa,23310715.0,12911.0
Nigeria,Africa,200963599.0,448120.0
Cameroon,Africa,25876380.0,39007.0
Togo,Africa,8082366.0,5490.0
Ghana,Africa,30417856.0,66983.0
Côte d'Ivoire,Africa,"25,716,544",58539.0
Guinea,Africa,12771246.0,12296.0
Guinea-Bissau,Africa,1920922.0,1339.0
Liberia,Africa,4937374.0,3070.0
Sierra Leone,Africa,7813215.0,4121.0
Burkina Faso,Africa,20321378.0,15990.0
Central African Rep.,Africa,"4,745,185",2220.0
Congo,Africa,5380508.0,
Gabon,Africa,2172579.0,16874.0
Eq. Guinea,Africa,1355986.0,11026.0
Zambia,Africa,17861030.0,23309.0
Malawi,Africa,18628747.0,7666.0
Mozambique,Africa,30366036.0,15291.0
eSwatini,Africa,1148130.0,4471.0
Angola,Africa,31825295.0,88815.0
Burundi,Africa,"11,530,580",3012.0
Israel,Asia,9053300.0,394652.0
Lebanon,Asia,6855713.0,51991.0
Madagascar,Africa,"26,969,307",14114.0
Palestine,Asia,"4,685,306",16276.0
Gambia,Africa,"2,347,706",1826.0
Tunisia,Africa,11694719.0,38796.0
Algeria,Africa,43053054.0,171091.0
Jordan,Asia,10101694.0,44502.0
United Arab Emirates,Asia,9770529.0,421142.0
