CD_MUN,idhm
3500105,0.79
3500204,0.73
3500303,0.71
3500402,0.78
3500501,0.74
3500550,0.75
3500600,0.85
3500709,0.74
3500758,0.71
3500808,0.74
3500907,0.68
3501004,0.73
3501103,0.7
3501152,0.76
3501202,0.72
3501301,0.75
3501400,0.68
3501509,0.72
3501608,0.81
3501707,0.75
3501806,0.74
3501905,0.78
3502002,0.75
3502101,0.77
3502200,0.71
3502309,0.72
3502408,0.74
3502507,0.75
3502606,0.72
3502705,0.71
3502754,0.7
3502804,0.78
3502903,0.77
3503000,0.74
3503109,0.68
3503158,0.68
3503208,0.81
3503307,0.78
3503356,0.72
3503406,0.74
3503505,0.69
3503604,0.69
3503703,0.73
3503802,0.74
3503901,0.78
3503950,0.73
3504008,0.8
3504107,0.76
3504206,0.77
3504305,0.71
3504404,0.7
3504503,0.76
3504602,0.74
3504701,0.66
3504800,0.75
3504909,0.73
3505005,0.71
3505104,0.69
3505203,0.75
3505302,0.78
3505351,0.66
3505401,0.64
3505500,0.78
3505609,0.72
3505708,0.78
3505807,0.75
3505906,0.76
3506003,0.8
3506102,0.78
3506201,0.74
3506300,0.73
3506359,0.73
3506409,0.76
3506508,0.78
3506607,0.71
3506706,0.68
3506805,0.74
3506904,0.7
3507001,0.78
3507100,0.71
3507159,0.66
3507209,0.74
3507308,0.75
3507407,0.73
3507456,0.7
3507506,0.8
3507605,0.77
3507704,0.73
3507753,0.71
3507803,0.75
3507902,0.74
3508009,0.66
3508108,0.76
3508207,0.73
3508306,0.69
3508405,0.73
3508504,0.78
3508603,0.76
3508702,0.72
3508801,0.74
3508900,0.72
3509007,0.78
3509106,0.69
3509205,0.72
3509254,0.69
3509304,0.73
3509403,0.71
3509452,0.71
3509502,0.8
3509601,0.76
3509700,0.74
3509809,0.7
3509908,0.72
3509957,0.7
3510005,0.74
3510104,0.78
3510153,0.68
3510203,0.72
3510302,0.69
3510401,0.75
3510500,0.75
3510609,0.74
3510708,0.72
3510807,0.73
3510906,0.73
3511003,0.73
3511102,0.78
3511201,0.75
3511300,0.76
3511409,0.72
3511508,0.78
3511607,0.7
3511706,0.73
3511904,0.72
3512001,0.75
3512100,0.71
3512209,0.7
3512308,0.73
3512407,0.75
3512506,0.71
3512605,0.69
3512704,0.75
3512803,0.76
3512902,0.72
3513009,0.78
3513108,0.75
3513207,0.73
3513306,0.77
3513405,0.78
3513504,0.73
3513603,0.68
3513702,0.76
3513801,0.75
3513850,0.74
