id_municipio,ano,populacao
2101350,2002,4969
2103752,2002,12558
2111904,2002,10717
2100204,2003,22130
2104073,2003,7966
2104107,2003,12294
2107456,2003,11287
2113009,2003,31236
2103703,2004,34767
2104552,2004,12898
2102507,2005,18265
2104701,2005,6277
2105203,2005,10123
2108603,2005,74896
2102358,2006,15787
2106755,2006,21490
2100956,2007,32448
2102150,2007,12121
2105963,2007,10036
2106755,2007,22291
2100204,2008,22167
2101004,2008,28552
2102309,2008,23037
2103604,2008,61952
2105963,2008,10201
2106607,2008,31510
2111052,2008,11017
2111078,2008,17018
2111904,2008,10598
2101731,2009,6531
2102309,2009,23137
2103604,2009,62310
2109403,2009,13874
2110104,2009,24077
2102200,2010,27044
2102309,2010,23197
2103703,2010,33274
2105302,2010,248559
2109007,2010,21366
2102903,2011,22242
2105401,2011,63080
2109056,2011,6125
2101202,2012,101733
2102002,2012,39661
2103604,2012,62805
2105427,2012,25168
2102606,2013,19383
2105609,2013,15746
2106607,2013,32552
2107506,2013,112258
2108207,2013,39647
2110856,2013,10298
2110906,2013,12077
2111508,2013,39959
2112308,2013,39660
2112456,2013,24529
2101004,2014,29480
2104628,2014,7412
2105989,2014,7093
2108207,2014,39644
2111805,2014,17373
2103208,2015,78480
2105708,2015,46881
2114007,2015,47496
2100600,2016,38964
2106409,2016,16439
2108058,2016,16024
2111631,2016,6064
2100105,2017,6232
2100402,2017,7071
2103174,2017,18204
2103554,2017,15271
2106300,2017,16160
2106672,2017,8815
2108504,2017,32567
2108603,2017,83723
2111078,2017,17716
2100055,2018,109471
2101905,2018,20722
2106003,2019,11656
2109239,2019,5392
2102309,2020,23319
2103307,2020,120248
2104651,2020,10994
2106003,2020,11660
2106326,2020,21184
2111706,2020,20439
2100550,2021,7248
2101806,2021,5615
2105708,2021,46480
2106672,2021,8979
2112233,2021,22747
2101251,2022,17134
2111607,2023,19078
2103000,2002,149424
2104099,2002,14611
2105401,2002,54820
2106359,2002,7430
2100477,2003,32634
2105906,2003,14955
2107258,2003,4326
2108207,2003,40847
2109205,2003,10192
2109700,2003,5487
2110906,2003,12080
2102325,2004,59982
2102556,2004,12789
2103257,2004,12981
2108454,2004,19307
2111763,2004,14776
2112274,2004,5727
2101202,2005,98059
